연월	NO	monaCode	구분	소속	직위	이름	재산구분	본인과의관계	재산의종류	소재지면적등권리의명세	종전가액	증가액	증가액실거래가격	감소액	감소액실거래가격	현재가액	변동사유
202603	1	XBT9550Q	국회의원	국회	국회의장	우원식	토지	본인	임야	경기도 양평군 단월면 봉상리 산 102-1번지 18,471.00㎡	45808	370		0		46178	가액변동
202603	2	XBT9550Q	국회의원	국회	국회의장	우원식	토지	본인	대지	충청남도 당진시 읍내동 1456번지 351.30㎡	357975	702		0		358677	가액변동
202603	3	XBT9550Q	국회의원	국회	국회의장	우원식	토지	본인	대지	충청남도 당진시 읍내동 1457번지 285.30㎡	293574	570		0		294144	가액변동
202603	4	XBT9550Q	국회의원	국회	국회의장	우원식	건물	본인	연립주택	서울특별시 노원구 하계1동 이코아빌 건물 146.69㎡	348000	4000		0		352000	가액변동
202603	5	XBT9550Q	국회의원	국회	국회의장	우원식	건물	본인	근린생활시설(전세(임차)권)	서울특별시 노원구 공릉동 무궁화빌딩 건물 109.90㎡	30000	0		0		30000	변동없음
202603	6	XBT9550Q	국회의원	국회	국회의장	우원식	건물	배우자	상가	서울특별시 노원구 중계동 건영아파트상가 대지 259.32㎡건물 370.60㎡	1332968	14903		0		1347871	가액변동
202603	7	XBT9550Q	국회의원	국회	국회의장	우원식	건물	배우자	사무실(전세(임차)권)	서울특별시 노원구 중계본동 유경백화점 건물 0.00㎡(건물 49.00㎡ 감소)	10000	0		10000		0	계약해지
202603	8	XBT9550Q	국회의원	국회	국회의장	우원식	건물	배우자	근린생활시설( 전세(임차)권)	서울특별시 노원구 공릉동 삼익아파트상가 대지 8.68㎡ 건물 19.44㎡	0	5000		0		5000	신규계약
202603	9	XBT9550Q	국회의원	국회	국회의장	우원식	부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기	본인	자동차	2016년식 올뉴카니발 R2.2 디젤9인승 프레스티지배기량(2199cc) 감소	10370	0		10370	3000	0	자동차매도
202603	10	XBT9550Q	국회의원	국회	국회의장	우원식	부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기	배우자	자동차	2016년식 투싼 TL디젤 1.7 Premium 2WD DCT배기량(1685cc)	9200	0		930		8270	가액변동
202603	11	XBT9550Q	국회의원	국회	국회의장	우원식	예금	본인		AIA생명보험주식회사 20129 외	195573	151186		2508		344251	급여저축 및 임대수익, 생활비 지출
202603	12	XBT9550Q	국회의원	국회	국회의장	우원식	예금	배우자		(주)KB손해보험 22065 외	101191	21241		22885		99547	급여저축 및 임대수익, 생활비 지출
202603	13	XBT9550Q	국회의원	국회	국회의장	우원식	정치자금	본인		농협은행 24929(22806 감소)	47735	0		22806		24929	의정활동 지출
202603	14	XBT9550Q	국회의원	국회	국회의장	우원식	채권	배우자		사인간채권	10000	0		0		10000	변동없음
202603	15	XBT9550Q	국회의원	국회	국회의장	우원식	채무	배우자	금융채무	국민은행 0(100000 감소)	100000	0		100000		0	예금 등으로 상환
202603	16	XBT9550Q	국회의원	국회	국회의장	우원식	채무	배우자	건물임대채무	서울특별시 노원구 중계동 건영아파트상가 임대보증금	60000	0		0		60000	변동없음
202603	17	XBT9550Q	국회의원	국회	국회의장	우원식	고지거부 및 등록제외사항	장남		고지거부	0	0		0		0	독립생계유지
202603	18	K5F2023J	국회의원	국회	국회부의장	이학영	토지	본인	전	전북특별자치도 순창군 풍산면 유정리 447번지 1,841.00㎡	2835	0		0		2835	
202603	19	K5F2023J	국회의원	국회	국회부의장	이학영	토지	본인	대지	전라남도 구례군 토지면 내서리 466번지 407.00㎡	13065	285		0		13350	
202603	20	K5F2023J	국회의원	국회	국회부의장	이학영	토지	본인	답	전라남도 광양시 봉강면 지곡리 822번지 3,568.00㎡	155921	3569		0		159490	
202603	25	K5F2023J	국회의원	국회	국회부의장	이학영	건물	본인	아파트	경기도 군포시 산본동 한양목련아파트 건물 126.00㎡ 중63.00㎡	211000	0		0		211000	
202603	29	K5F2023J	국회의원	국회	국회부의장	이학영	건물	배우자	아파트	경기도 군포시 산본동 한양목련아파트 건물 126.00㎡ 중63.00㎡	211000	0		0		211000	
202603	34	K5F2023J	국회의원	국회	국회부의장	이학영	예금	본인		DB손해보험(주) 17397 외	225486	242752		154538		313700	급여저축 등
202603	40	8SV6917G	국회의원	국회	국회부의장	주호영	토지	본인	대지	경상북도 울진군 울진읍 읍남리 851번지 294.00㎡	7027	58		0		7085	가액변동
202603	43	8SV6917G	국회의원	국회	국회부의장	주호영	건물	본인	아파트	서울특별시 서초구 반포동 반포아파트 건물 140.33㎡ 중93.55㎡	2275848	560818		0		2836666	재건축 진행 중
